# theta_deg,radius_mm  -- measured outer ring of PHerc1218, median over 313 L1 slices (z 1000-11000); from the public per-ray crossing table
0.000,23.198
6.000,21.012
12.000,18.662
18.000,16.822
24.000,16.174
30.000,15.379
36.000,14.412
42.000,14.031
48.000,12.891
54.000,12.010
60.000,11.526
66.000,11.154
72.000,11.111
78.000,10.999
84.000,11.033
90.000,11.076
96.000,10.964
102.000,10.843
108.000,10.826
114.000,11.068
120.000,11.258
126.000,11.750
132.000,12.182
138.000,12.709
144.000,14.135
150.000,16.235
156.000,19.621
162.000,21.393
168.000,21.669
174.000,21.047
180.000,20.390
186.000,19.017
192.000,18.351
198.000,17.980
204.000,17.176
210.000,16.355
216.000,15.267
222.000,13.599
228.000,12.554
234.000,11.871
240.000,11.301
246.000,10.912
252.000,10.593
258.000,10.463
264.000,10.472
270.000,10.256
276.000,10.256
282.000,10.316
288.000,10.480
294.000,11.025
300.000,11.293
306.000,11.837
312.000,12.096
318.000,12.727
324.000,13.522
330.000,14.705
336.000,16.183
342.000,18.637
348.000,20.598
354.000,22.239
